"date","measurer","block","pos","dmg.score","egg","larvae","adult","weevil","other.herb","undamaged.stems","damaged.stems","total.stems","focal.dam","notes","ind","prop_dam","treatment"
"19-Jun-19","Claire","E4","3",3,TRUE,TRUE,FALSE,NA,NA,6,0,"6","0","","E4-3",0,"control"
"19-Jun-19","Claire","E4","4",3,TRUE,TRUE,FALSE,NA,NA,2,0,"2","0","","E4-4",0,"control"
"19-Jun-19","Claire","E4","5",2,TRUE,TRUE,FALSE,NA,NA,2,0,"2","0","","E4-5",0,"control"
"19-Jun-19","Claire","E4","6",2,TRUE,FALSE,FALSE,NA,NA,1,0,"1","0","","E4-6",0,"control"
"19-Jun-19","Claire","E4","7",3,TRUE,TRUE,TRUE,NA,NA,5,0,"5","0","","E4-7",0,"control"
"19-Jun-19","Claire","E4","8",2,TRUE,FALSE,FALSE,NA,NA,3,0,"3","0","","E4-8",0,"control"
"19-Jun-19","Claire","E4","9",2,TRUE,TRUE,FALSE,NA,NA,2,0,"2","0","","E4-9",0,"control"
"19-Jun-19","Claire","E4","10",2,TRUE,TRUE,TRUE,NA,NA,3,0,"3","0","","E4-10",0,"control"
"19-Jun-19","Claire","E4","11",1,TRUE,FALSE,FALSE,NA,NA,3,0,"3","0","","E4-11",0,"control"
"19-Jun-19","Claire","E4","12",2,TRUE,TRUE,FALSE,NA,NA,3,0,"3","0","","E4-12",0,"control"
"19-Jun-19","Claire","E4","13",2,TRUE,FALSE,FALSE,NA,NA,5,0,"5","0","","E4-13",0,"control"
"19-Jun-19","Claire","E4","14",2,TRUE,FALSE,FALSE,NA,NA,7,0,"7","0","","E4-14",0,"control"
"19-Jun-19","Claire","E4","15",1,FALSE,FALSE,FALSE,NA,NA,2,1,"3","1","","E4-15",0.333333333333333,"control"
"19-Jun-19","Claire","E4","16",2,TRUE,TRUE,FALSE,NA,NA,4,0,"4","0","","E4-16",0,"control"
"19-Jun-19","Claire","E4","17",2,FALSE,FALSE,FALSE,NA,NA,4,0,"4","0","","E4-17",0,"control"
"19-Jun-19","Claire","E4","18",2,TRUE,TRUE,FALSE,NA,NA,6,0,"6","0","","E4-18",0,"control"
"19-Jun-19","Claire","E4","19",2,TRUE,FALSE,TRUE,NA,NA,3,0,"3","0","","E4-19",0,"control"
"19-Jun-19","Claire","E4","20",2,TRUE,FALSE,FALSE,NA,NA,6,0,"6","0","","E4-20",0,"control"
"19-Jun-19","Claire","E4","21",2,TRUE,TRUE,FALSE,NA,NA,6,0,"6","0","","E4-21",0,"control"
"19-Jun-19","Claire","E4","22",2,TRUE,FALSE,FALSE,NA,NA,1,0,"1","0","","E4-22",0,"control"
"19-Jun-19","Claire","E4","23",3,TRUE,TRUE,FALSE,NA,NA,4,0,"4","0","","E4-23",0,"control"
